Rank	Filename	Anomaly_Score
168	tile_00558_cell13.png	4.680828
169	tile_00395_cell14.png	4.680951
170	tile_00199_cell43.png	4.681130
171	tile_00843_cell9.png	4.681254
172	tile_00976_cell18.png	4.681410
173	tile_00670_cell18.png	4.681674
174	tile_00848_cell15.png	4.682506
175	tile_00399_cell40.png	4.683599
176	tile_00116_cell18.png	4.683635
177	tile_00882_cell13.png	4.683914
178	tile_00808_cell12.png	4.684025
179	tile_00651_cell3.png	4.685299
180	tile_00303_cell44.png	4.685388
181	tile_00820_cell45.png	4.685680
182	tile_00640_cell21.png	4.685763
183	tile_00403_cell50.png	4.685786
184	tile_00405_cell26.png	4.686526
185	tile_00355_cell16.png	4.686690
186	tile_00018_cell18.png	4.686893
187	tile_00301_cell9.png	4.687114
188	tile_00353_cell34.png	4.687171
189	tile_00399_cell56.png	4.687544
190	tile_00864_cell14.png	4.688105
191	tile_00707_cell18.png	4.688455
192	tile_00077_cell45.png	4.689099
193	tile_00690_cell46.png	4.689782
194	tile_00396_cell29.png	4.690441
195	tile_00103_cell26.png	4.690549
196	tile_00703_cell26.png	4.690710
197	tile_00088_cell47.png	4.690713
198	tile_00846_cell7.png	4.690875
199	tile_00653_cell31.png	4.691027
200	tile_00138_cell18.png	4.691131
201	tile_00934_cell117.png	4.691889
202	tile_00386_cell53.png	4.692405
203	tile_00223_cell38.png	4.693224
204	tile_00653_cell35.png	4.693404
205	tile_00016_cell32.png	4.693489
206	tile_00136_cell8.png	4.693560
207	tile_00525_cell6.png	4.694264
208	tile_00884_cell78.png	4.694625
209	tile_00800_cell17.png	4.694628
210	tile_00376_cell35.png	4.694657
211	tile_00524_cell8.png	4.695130
212	tile_00721_cell59.png	4.695609
213	tile_00709_cell53.png	4.695879
214	tile_00375_cell16.png	4.696206
215	tile_00696_cell6.png	4.696338
216	tile_00803_cell54.png	4.696755
217	tile_00421_cell45.png	4.697166
218	tile_00504_cell30.png	4.697173
219	tile_00205_cell45.png	4.697366
220	tile_00587_cell27.png	4.697914
221	tile_00807_cell42.png	4.698477
222	tile_00117_cell6.png	4.698831
